Unnamed: 0,Title,id,rating,genres,Release year,Overview
676,Hypnotic,536437,R,Mystery;Thriller;Science Fiction,2023,A detective becomes entangled in a mystery involving his missing daughter and a secret government program while investigating a string of reality-bending crimes.
677,Rambo III,1370,R,Action;Adventure;Thriller;War,1988,"Combat has taken its toll on Rambo, but he's finally begun to find inner peace in a monastery. When Rambo's friend and mentor Col. Trautman asks for his help on a top secret mission to Afghanistan, Rambo declines but must reconsider when Trautman is captured."
678,Thor: The Dark World,76338,PG-13,Action;Adventure;Fantasy,2013,"Thor fights to restore order across the cosmos… but an ancient race led by the vengeful Malekith returns to plunge the universe back into darkness. Faced with an enemy that even Odin and Asgard cannot withstand, Thor must embark on his most perilous and personal journey yet, one that will reunite him with Jane Foster and force him to sacrifice everything to save us all."
679,Oblivion,75612,PG-13,Action;Science Fiction;Adventure;Mystery,2013,"Jack Harper is one of the last few drone repairmen stationed on Earth. Part of a massive operation to extract vital resources after decades of war with a terrifying threat known as the Scavs, Jack’s mission is nearly complete. His existence is brought crashing down when he rescues a beautiful  stranger from a downed spacecraft. Her arrival triggers a chain of events that  forces him to question everything he knows and puts the fate of humanity in his hands."
680,The Greatest Game Ever Played,15487,PG,Drama,2005,"A biopic of 20-year-old Francis Ouimet who defeated his golfing idol and 1900 US Open Champion, Harry Vardon."
681,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),495764,R,Action;Crime,2020,"Harley Quinn joins forces with a singer, an assassin and a police detective to help a young girl who had a hit placed on her after she stole a rare diamond from a crime lord."
682,The Great Wall,311324,PG-13,Action;Adventure;Fantasy,2016,European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.
683,Taken 2,82675,PG-13,Action;Crime;Thriller,2012,"In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter."
684,Breathe,720321,PG-13,Action;Science Fiction;Mystery;Thriller,2024,"Air-supply is scarce in the near future, forcing a mother and daughter to fight for survival when two strangers arrive desperate for an oxygenated haven."
685,Descendants 3,506574,PG,Family;TV Movie;Adventure;Fantasy,2019,The teenagers of Disney's most infamous villains return to the Isle of the Lost to recruit a new batch of villainous offspring to join them at Auradon Prep.
686,Need for Speed,136797,PG-13,Action;Crime;Drama;Thriller,2014,"The film revolves around a local street-racer who partners with a rich and arrogant business associate, only to find himself framed by his colleague and sent to prison. After he gets out, he joins a New York-to-Los Angeles race to get revenge. But when the ex-partner learns of the scheme, he puts a massive bounty on the racer's head, forcing him to run a cross-country gauntlet of illegal racers in all manner of supercharged vehicles."
687,Rambo: First Blood Part II,1369,R,Action;Adventure;Thriller;War,1985,John Rambo is released from prison by the government for a top-secret covert mission to the last place on Earth he'd want to return - the jungles of Vietnam.
688,The Iron Giant,10386,PG,Family;Animation;Science Fiction;Adventure,1999,"In the small town of Rockwell, Maine in October 1957, a giant metal machine befriends a nine-year-old boy and ultimately finds its humanity by unselfishly saving people from their own fears and prejudices."
689,Texas Chainsaw 3D,76617,R,Horror;Thriller,2013,"A young woman learns that she has inherited a Texas estate from her deceased grandmother. After embarking on a road trip with friends to uncover her roots, she finds she is the sole owner of a lavish, isolated Victorian mansion. But her newfound wealth comes at a price as she stumbles upon a horror that awaits her in the mansion’s dank cellars."
690,Journey 2: The Mysterious Island,72545,PG,Adventure;Action;Science Fiction,2012,"Sean Anderson partners with his mom's boyfriend on a mission to find his grandfather, who is thought to be missing on a mythical island."
691,The Northman,639933,R,Action;Adventure;Fantasy,2022,"Prince Amleth is on the verge of becoming a man when his father is brutally murdered by his uncle, who kidnaps the boy's mother. Two decades later, Amleth is now a Viking who's on a mission to save his mother, kill his uncle and avenge his father."
692,Call Me by Your Name,398818,R,Romance;Drama,2017,"In 1980s Italy, a relationship begins between seventeen-year-old teenage Elio and the older adult man hired as his father's research assistant."
693,Edward Scissorhands,162,PG-13,Fantasy;Drama;Romance,1990,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.
694,Drive,64690,R,Drama;Thriller;Crime,2011,"Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior, lately he's been warming up to a pretty neighbor named Irene and her young son, Benicio. When Irene's husband gets out of jail, he enlists Driver's help in a million-dollar heist. The job goes horribly wrong, and Driver must risk his life to protect Irene and Benicio from the vengeful masterminds behind the robbery."
695,Madagascar 3: Europe's Most Wanted,80321,PG,Animation;Family;Comedy;Adventure,2012,"Animal pals Alex, Marty, Melman, and Gloria are still trying to make it back to New York's Central Park Zoo. They are forced to take a detour to Europe to find the penguins and chimps who broke the bank at a Monte Carlo casino. When French animal-control officer Capitaine Chantel DuBois picks up their scent, Alex and company are forced to hide out in a traveling circus."
696,Rings,14564,PG-13,Horror,2017,"Julia becomes worried about her boyfriend Holt when he explores the dark urban legend of a mysterious videotape said to kill the watcher seven days after viewing. She sacrifices herself to save her boyfriend and in doing so makes a horrifying discovery: there is a ""movie within the movie"" that no one has ever seen before."
697,Teenage Mutant Ninja Turtles: Out of the Shadows,308531,PG-13,Action;Adventure;Comedy;Family;Science Fiction,2016,"After supervillain Shredder escapes custody, he joins forces with mad scientist Baxter Stockman and two dimwitted henchmen, Bebop and Rocksteady, to unleash a diabolical plan to take over the world. As the Turtles prepare to take on Shredder and his new crew, they find themselves facing an even greater evil with similar intentions: the notorious Krang."
698,Men in Black,607,PG-13,Action;Adventure;Comedy;Science Fiction,1997,"After a police chase with an otherworldly being, a New York City cop is recruited as an agent in a top-secret organization established to monitor and police alien activity on Earth: the Men in Black. Agent K and new recruit Agent J find themselves in the middle of a deadly plot by an intergalactic terrorist who has arrived on Earth to assassinate two ambassadors from opposing galaxies."
699,Colonia,318781,R,Drama;History,2015,"A young woman's desperate search for her abducted boyfriend draws her into the infamous Colonia Dignidad, a sect nobody ever escaped from."
700,The Boy in the Striped Pyjamas,14574,PG-13,Drama;War;History,2008,"When his family moves from their home in Berlin to a strange new house in Poland, young Bruno befriends Shmuel, a boy who lives on the other side of the fence where everyone seems to be wearing striped pajamas. Unaware of Shmuel's fate as a Jewish prisoner or the role his own Nazi father plays in his imprisonment, Bruno embarks on a dangerous journey inside the camp's walls."
